REGIONID,forecast_error_mw
NSW1,10713.52
NSW1,10732.31
NSW1,10702.45
NSW1,10627.02
NSW1,10581.05
NSW1,10572.84
NSW1,10531.14
NSW1,10476.26
NSW1,10443.85
NSW1,10379.15
NSW1,10331.36
NSW1,10298.74
NSW1,10294.42
NSW1,10243.89
NSW1,10288.04
NSW1,10205.73
NSW1,10215.76
NSW1,10128.01
NSW1,10171.8
NSW1,10205.73
NSW1,10140.31
NSW1,10057.78
NSW1,10003.63
NSW1,9997.48
NSW1,10012.68
NSW1,9977.87
NSW1,9892.76
NSW1,9924.69
NSW1,9866.42
NSW1,9859.77
NSW1,9813.0
NSW1,9761.24
NSW1,9737.26
NSW1,9584.79
NSW1,9591.05
NSW1,9562.58
NSW1,9502.37
NSW1,9476.26
NSW1,9420.73
NSW1,9333.98
NSW1,9282.24
NSW1,9179.48
NSW1,9120.78
NSW1,9095.56
NSW1,9011.06
NSW1,9083.15
NSW1,9042.72
NSW1,8971.01
NSW1,8953.89
NSW1,8928.27
NSW1,8901.21
NSW1,8827.99
NSW1,8788.25
NSW1,8738.7
NSW1,8643.33
NSW1,8617.78
NSW1,8485.76
NSW1,8541.19
NSW1,8449.42
NSW1,8446.29
NSW1,8378.81
NSW1,8400.25
NSW1,8262.74
NSW1,8242.46
NSW1,8179.15
NSW1,8157.78
NSW1,8063.93
NSW1,8107.32
NSW1,8042.75
NSW1,8047.38
NSW1,8001.16
NSW1,7930.17
NSW1,7966.13
NSW1,7983.07
NSW1,7918.0
NSW1,7897.3
NSW1,7890.57
NSW1,7848.82
NSW1,7772.27
NSW1,7715.62
NSW1,7737.52
NSW1,7715.94
NSW1,7605.29
NSW1,7579.15
NSW1,7556.31
NSW1,7533.97
NSW1,7471.75
NSW1,7439.66
NSW1,7443.19
NSW1,7382.95
NSW1,7400.51
NSW1,7406.19
NSW1,7364.71
NSW1,7432.93
NSW1,7357.85
NSW1,7304.8
NSW1,7279.35
NSW1,7262.32
NSW1,7229.19
NSW1,7197.48
NSW1,7098.09
NSW1,7078.04
NSW1,7082.13
NSW1,6971.72
NSW1,6949.73
NSW1,7066.85
NSW1,7023.04
NSW1,6990.68
NSW1,6935.99
NSW1,7028.61
NSW1,6982.5
NSW1,6918.54
NSW1,6953.68
NSW1,6989.03
NSW1,7013.6
NSW1,7002.26
NSW1,6962.69
NSW1,6975.88
NSW1,7005.54
NSW1,6981.1
NSW1,6971.91
NSW1,6970.69
NSW1,6990.89
NSW1,7070.54
NSW1,7066.1
NSW1,6930.14
NSW1,6978.37
NSW1,7014.38
NSW1,7087.39
NSW1,7086.96
NSW1,7166.3
NSW1,7241.2
NSW1,7286.52
NSW1,7328.4
NSW1,7357.87
NSW1,7286.8
NSW1,7319.28
NSW1,7364.65
NSW1,7370.98
NSW1,7392.46
NSW1,7511.41
NSW1,7596.13
NSW1,7735.65
NSW1,7781.8
NSW1,7924.17
NSW1,7874.9
NSW1,7967.37
NSW1,8052.98
NSW1,8143.71
NSW1,8086.96
NSW1,8216.97
NSW1,8269.82
NSW1,8326.51
NSW1,8417.62
NSW1,8458.44
NSW1,8546.83
NSW1,8659.65
NSW1,8656.47
NSW1,8646.88
NSW1,8662.92
NSW1,8700.16
NSW1,8658.05
NSW1,8754.44
NSW1,8742.37
NSW1,8766.1
NSW1,8819.9
NSW1,8727.48
NSW1,8640.3
NSW1,8680.29
NSW1,8654.65
NSW1,8542.93
NSW1,8545.08
NSW1,8552.62
NSW1,8563.28
NSW1,8419.89
NSW1,8544.52
NSW1,8545.31
NSW1,8546.28
NSW1,8583.15
NSW1,8477.32
NSW1,8482.63
NSW1,8443.24
NSW1,8460.45
NSW1,8403.86
NSW1,8436.04
NSW1,8370.11
NSW1,8224.58
NSW1,8244.95
NSW1,8167.54
NSW1,8211.23
NSW1,8116.48
NSW1,8123.74
NSW1,8090.81
NSW1,8079.21
NSW1,8099.95
NSW1,8231.83
NSW1,8191.72
NSW1,8305.5
NSW1,8326.88
NSW1,8261.28
NSW1,8212.24
NSW1,8184.14
NSW1,8097.63
NSW1,8120.61
NSW1,8143.5
NSW1,7923.67
NSW1,8009.06
NSW1,8019.23
NSW1,7973.99
NSW1,7968.04
NSW1,7979.62
NSW1,7856.05
NSW1,7873.03
NSW1,7856.47
NSW1,7691.38
NSW1,7732.64
NSW1,7692.65
NSW1,7637.54
NSW1,7575.65
NSW1,7595.01
NSW1,7494.34
NSW1,7481.81
NSW1,7486.54
NSW1,7423.84
NSW1,7458.19
NSW1,7519.28
NSW1,7492.52
NSW1,7465.61
NSW1,7479.56
NSW1,7367.86
NSW1,7474.4
NSW1,7484.33
NSW1,7334.92
NSW1,7378.56
NSW1,7474.27
NSW1,7437.29
NSW1,7544.18
NSW1,7628.4
NSW1,7649.34
NSW1,7582.1
NSW1,7732.44
NSW1,7719.23
NSW1,7716.61
NSW1,7822.55
NSW1,7798.06
NSW1,7866.25
NSW1,7836.58
NSW1,7962.15
NSW1,7931.9
NSW1,7998.45
NSW1,8058.13
NSW1,8096.74
NSW1,8218.15
NSW1,8212.12
NSW1,8422.4
NSW1,8471.02
NSW1,8585.02
NSW1,8689.55
NSW1,8738.81
NSW1,8792.79
NSW1,8880.3
NSW1,9111.44
NSW1,9173.55
NSW1,9237.6
NSW1,9482.57
NSW1,9632.1
NSW1,9772.22
NSW1,9896.41
NSW1,9954.99
NSW1,10091.71
NSW1,10168.71
NSW1,10280.71
NSW1,10388.24
NSW1,10417.58
NSW1,10514.4
NSW1,10535.48
NSW1,10643.99
NSW1,10683.84
NSW1,10682.52
NSW1,10772.54
NSW1,10842.13
NSW1,11015.67
NSW1,11079.59
NSW1,11241.99
NSW1,11088.03
NSW1,11273.39
NSW1,11173.02
NSW1,11383.26
NSW1,11387.61
NSW1,11311.72
NSW1,11432.47
NSW1,11316.14
NSW1,11468.23
NSW1,11478.08
NSW1,11548.02
NSW1,11371.31
NSW1,11468.55
NSW1,11387.75
NSW1,11346.02
NSW1,11265.71
NSW1,11307.69
NSW1,11139.73
NSW1,11179.28
NSW1,11074.01
NSW1,11103.9
NSW1,11083.65
NSW1,11060.98
NSW1,11140.32
NSW1,11055.33
NSW1,10989.08
NSW1,10930.49
NSW1,10860.74
NSW1,10893.6
NSW1,10847.9
NSW1,10849.28
NSW1,10739.93
NSW1,10600.62
NSW1,10575.48
NSW1,10623.44
NSW1,10532.8
NSW1,10552.45
NSW1,10397.42
NSW1,10250.08
NSW1,10219.71
NSW1,10143.44
NSW1,10078.43
NSW1,9989.09
NSW1,10004.47
NSW1,9948.21
NSW1,9872.03
NSW1,9707.74
NSW1,9650.97
NSW1,9625.71
NSW1,9563.75
NSW1,9520.89
NSW1,9600.23
NSW1,9620.99
NSW1,9500.33
NSW1,9424.74
NSW1,9373.52
NSW1,9202.84
NSW1,9196.67
NSW1,9098.38
NSW1,9100.09
NSW1,9013.06
NSW1,9039.97
NSW1,8914.77
NSW1,8870.43
NSW1,8824.12
NSW1,8787.68
NSW1,8592.06
NSW1,8657.34
NSW1,8548.23
NSW1,8597.26
NSW1,8444.1
NSW1,8428.54
NSW1,8460.46
NSW1,8410.93
NSW1,8373.37
NSW1,8183.4
NSW1,8281.91
NSW1,8154.28
NSW1,8145.35
NSW1,8112.81
NSW1,8058.0
NSW1,8021.89
NSW1,7962.17
NSW1,8016.97
NSW1,7941.82
NSW1,7971.48
NSW1,7929.28
NSW1,7961.08
NSW1,7880.51
NSW1,7750.48
NSW1,7721.9
NSW1,7713.88
NSW1,7578.17
NSW1,7590.72
NSW1,7572.8
NSW1,7483.33
NSW1,7492.68
NSW1,7566.31
NSW1,7537.51
NSW1,7454.42
NSW1,7394.61
NSW1,7341.08
NSW1,7290.52
NSW1,7361.27
NSW1,7302.66
NSW1,7263.48
NSW1,7283.67
NSW1,7237.31
NSW1,7241.57
NSW1,7175.39
NSW1,7221.27
NSW1,7140.14
NSW1,7135.15
NSW1,7114.79
NSW1,7127.91
NSW1,7140.71
NSW1,7164.54
NSW1,7188.62
NSW1,7105.81
NSW1,7160.37
NSW1,7111.33
NSW1,7100.87
NSW1,7108.64
NSW1,7048.48
NSW1,7059.0
NSW1,7132.03
NSW1,7108.71
NSW1,7141.05
NSW1,7129.36
NSW1,7127.89
NSW1,7136.96
NSW1,7198.89
NSW1,7099.29
NSW1,7204.48
NSW1,7260.1
NSW1,7356.15
NSW1,7377.34
NSW1,7409.12
NSW1,7408.54
NSW1,7446.74
NSW1,7433.37
NSW1,7373.49
NSW1,7360.48
NSW1,7430.64
NSW1,7564.58
NSW1,7683.76
NSW1,7787.94
NSW1,7728.58
NSW1,7902.85
NSW1,7944.19
NSW1,8001.0
NSW1,7991.16
NSW1,8082.12
NSW1,8081.03
NSW1,8156.68
NSW1,8249.64
NSW1,8341.05
NSW1,8387.03
NSW1,8487.83
NSW1,8489.59
NSW1,8616.12
NSW1,8560.35
NSW1,8618.09
NSW1,8494.29
NSW1,8533.04
NSW1,8572.95
NSW1,8617.67
NSW1,8598.5
NSW1,8576.26
NSW1,8589.65
NSW1,8628.43
NSW1,8608.67
NSW1,8659.07
NSW1,8547.63
NSW1,8550.78
NSW1,8489.46
NSW1,8432.77
NSW1,8489.28
NSW1,8397.73
NSW1,8379.28
NSW1,8429.63
NSW1,8495.72
NSW1,8422.09
NSW1,8369.54
NSW1,8422.73
NSW1,8333.93
NSW1,8301.43
NSW1,8279.48
NSW1,8301.43
NSW1,8257.24
NSW1,8232.77
NSW1,8221.9
NSW1,8200.22
NSW1,8233.0
NSW1,8210.91
NSW1,8266.18
NSW1,8230.67
NSW1,8028.85
NSW1,8148.18
NSW1,8256.64
NSW1,8217.4
NSW1,8281.38
NSW1,8282.53
NSW1,8138.58
NSW1,8264.75
NSW1,8313.18
NSW1,8228.45
NSW1,8236.87
NSW1,8195.07
NSW1,8009.66
NSW1,8035.78
NSW1,8102.84
NSW1,8075.38
NSW1,8087.37
NSW1,8001.0
NSW1,7959.56
NSW1,7962.91
NSW1,7975.63
NSW1,7820.68
NSW1,7832.43
NSW1,7963.41
NSW1,7961.67
NSW1,7590.45
NSW1,7669.55
NSW1,7559.53
NSW1,7555.58
NSW1,7582.03
NSW1,7691.36
NSW1,7676.07
NSW1,7656.58
NSW1,7741.34
NSW1,7708.8
NSW1,7808.52
NSW1,7777.25
NSW1,7897.39
NSW1,8062.45
NSW1,8190.16
NSW1,8253.27
NSW1,8221.73
NSW1,8350.83
NSW1,8430.91
NSW1,8505.1
NSW1,8510.8
NSW1,8622.07
