SETTLEMENTDATE,DUID,FUEL_TYPE,scada_mw
2026-03-12 16:00:00,ER02,Black coal,453.75449
2026-03-12 16:00:00,ER03,Black coal,451.85016
2026-03-12 16:00:00,ER04,Black coal,450.26321
2026-03-12 16:00:00,KPP_1,Black coal,431.55307
2026-03-12 16:00:00,STOCKYD1,Wind,491.12999999999994
2026-03-12 16:00:00,WDGPH1,Solar,370.00301999999994
2026-03-12 16:05:00,BW03,Black coal,374.26108
2026-03-12 16:05:00,BW04,Black coal,572.75043
2026-03-12 16:05:00,CPP_3,Black coal,414.97500999999994
2026-03-12 16:05:00,ER01,Black coal,467.69513
2026-03-12 16:05:00,ER02,Black coal,474.33585
2026-03-12 16:05:00,ER03,Black coal,471.03992
2026-03-12 16:05:00,ER04,Black coal,467.10918999999996
2026-03-12 16:05:00,KPP_1,Black coal,434.28906
2026-03-12 16:05:00,STOCKYD1,Wind,490.95001
2026-03-12 16:05:00,WDGPH1,Solar,366.94803
2026-03-12 16:10:00,BW03,Black coal,349.35837
2026-03-12 16:10:00,BW04,Black coal,583.54163
2026-03-12 16:10:00,CPP_3,Black coal,420.75
2026-03-12 16:10:00,ER01,Black coal,478.92575
2026-03-12 16:10:00,ER02,Black coal,493.40353
2026-03-12 16:10:00,ER03,Black coal,485.2247
2026-03-12 16:10:00,ER04,Black coal,479.8291
2026-03-12 16:10:00,KPP_1,Black coal,431.65378
2026-03-12 16:10:00,STOCKYD1,Wind,485.01999
2026-03-12 16:10:00,WDGPH1,Solar,363.67203
2026-03-12 16:15:00,BW03,Black coal,348.4306
2026-03-12 16:15:00,BW04,Black coal,608.56641
2026-03-12 16:15:00,CPP_3,Black coal,420.75
2026-03-12 16:15:00,ER01,Black coal,500.09308
2026-03-12 16:15:00,ER02,Black coal,519.13635
2026-03-12 16:15:00,ER03,Black coal,507.29535
2026-03-12 16:15:00,ER04,Black coal,500.9964
2026-03-12 16:15:00,KPP_1,Black coal,431.21735
2026-03-12 16:15:00,STOCKYD1,Wind,479.92999
2026-03-12 16:15:00,WDGPH1,Solar,359.923
2026-03-12 16:20:00,BW03,Black coal,332.63446
2026-03-12 16:20:00,BW04,Black coal,618.89374
2026-03-12 16:20:00,CPP_3,Black coal,421.02499
2026-03-12 16:20:00,ER01,Black coal,525.11786
2026-03-12 16:20:00,ER02,Black coal,525.99677
2026-03-12 16:20:00,ER03,Black coal,524.58075
2026-03-12 16:20:00,ER04,Black coal,521.94397
2026-03-12 16:20:00,KPP_1,Black coal,443.10129
2026-03-12 16:20:00,STOCKYD1,Wind,482.54001
2026-03-12 16:20:00,WDGPH1,Solar,355.71103
2026-03-12 16:25:00,BW03,Black coal,332.90302
2026-03-12 16:25:00,BW04,Black coal,638.03467
2026-03-12 16:25:00,CPP_3,Black coal,419.10001
2026-03-12 16:25:00,ER01,Black coal,533.98029
2026-03-12 16:25:00,ER02,Black coal,546.4317
2026-03-12 16:25:00,ER03,Black coal,540.27924
2026-03-12 16:25:00,ER04,Black coal,536.37292
2026-03-12 16:25:00,KPP_1,Black coal,466.93628
2026-03-12 16:25:00,STOCKYD1,Wind,480.89001
2026-03-12 16:25:00,WDGPH1,Solar,351.11902
2026-03-12 16:30:00,BW03,Black coal,333.75754
2026-03-12 16:30:00,BW04,Black coal,655.93042
2026-03-12 16:30:00,CPP_3,Black coal,425.97501
2026-03-12 16:30:00,ER01,Black coal,559.42017
2026-03-12 16:30:00,ER02,Black coal,571.77386
2026-03-12 16:30:00,ER03,Black coal,565.08429
2026-03-12 16:30:00,ER04,Black coal,558.63892
2026-03-12 16:30:00,KPP_1,Black coal,490.80481
2026-03-12 16:30:00,STOCKYD1,Wind,478.14999
2026-03-12 16:30:00,WDGPH1,Solar,346.92603
2026-03-12 16:35:00,BW03,Black coal,332.12177
2026-03-12 16:35:00,BW04,Black coal,676.85358
2026-03-12 16:35:00,CPP_3,Black coal,417.72501
2026-03-12 16:35:00,ER01,Black coal,576.26611
2026-03-12 16:35:00,ER02,Black coal,593.47827
2026-03-12 16:35:00,ER03,Black coal,583.39514
2026-03-12 16:35:00,ER04,Black coal,573.67816
2026-03-12 16:35:00,KPP_1,Black coal,504.43442
2026-03-12 16:35:00,STOCKYD1,Wind,455.25
2026-03-12 16:35:00,WDGPH1,Solar,342.17603
