hour_start,REGIONID,avg_net_interchange_mw
2026-03-04 02:00:00,VIC1,1348.05
2026-03-04 03:00:00,NSW1,-1307.83
2026-03-04 03:00:00,QLD1,837.03
2026-03-04 03:00:00,SA1,-663.91
2026-03-04 03:00:00,TAS1,0.0
2026-03-04 03:00:00,VIC1,1275.49
2026-03-04 04:00:00,NSW1,-1448.19
2026-03-04 04:00:00,QLD1,964.37
2026-03-04 04:00:00,SA1,-637.39
2026-03-04 04:00:00,TAS1,0.0
2026-03-04 04:00:00,VIC1,1277.32
2026-03-04 05:00:00,NSW1,-1379.09
2026-03-04 05:00:00,QLD1,846.96
2026-03-04 05:00:00,SA1,-475.85
2026-03-04 05:00:00,TAS1,0.0
2026-03-04 05:00:00,VIC1,1137.25
2026-03-04 06:00:00,NSW1,-1206.4
2026-03-04 06:00:00,QLD1,712.44
2026-03-04 06:00:00,SA1,-336.6
2026-03-04 06:00:00,TAS1,0.0
2026-03-04 06:00:00,VIC1,915.93
2026-03-04 07:00:00,NSW1,-1353.5
2026-03-04 07:00:00,QLD1,835.44
2026-03-04 07:00:00,SA1,-381.88
2026-03-04 07:00:00,TAS1,6.34
2026-03-04 07:00:00,VIC1,1031.89
2026-03-04 08:00:00,NSW1,-1476.74
2026-03-04 08:00:00,QLD1,822.74
2026-03-04 08:00:00,SA1,-135.27
2026-03-04 08:00:00,TAS1,0.0
2026-03-04 08:00:00,VIC1,985.47
2026-03-04 09:00:00,NSW1,-1564.58
2026-03-04 09:00:00,QLD1,758.11
2026-03-04 09:00:00,SA1,166.44
2026-03-04 09:00:00,TAS1,-131.19
2026-03-04 09:00:00,VIC1,1021.38
2026-03-04 10:00:00,NSW1,-1277.0
2026-03-04 10:00:00,QLD1,718.56
2026-03-04 10:00:00,SA1,324.71
2026-03-04 10:00:00,TAS1,-102.31
2026-03-04 10:00:00,VIC1,561.2
2026-03-04 11:00:00,NSW1,-842.88
2026-03-04 11:00:00,QLD1,545.03
2026-03-04 11:00:00,SA1,321.97
2026-03-04 11:00:00,TAS1,-132.33
2026-03-04 11:00:00,VIC1,260.13
2026-03-04 12:00:00,NSW1,-817.64
2026-03-04 12:00:00,QLD1,537.06
2026-03-04 12:00:00,SA1,275.88
2026-03-04 12:00:00,TAS1,-108.08
2026-03-04 12:00:00,VIC1,259.17
2026-03-04 13:00:00,NSW1,-739.94
2026-03-04 13:00:00,QLD1,569.38
2026-03-04 13:00:00,SA1,276.74
2026-03-04 13:00:00,TAS1,-106.95
2026-03-04 13:00:00,VIC1,128.65
2026-03-04 14:00:00,NSW1,-549.21
2026-03-04 14:00:00,QLD1,487.21
2026-03-04 14:00:00,SA1,248.94
2026-03-04 14:00:00,TAS1,-129.04
2026-03-04 14:00:00,VIC1,36.87
2026-03-04 15:00:00,NSW1,-378.61
2026-03-04 15:00:00,QLD1,356.36
2026-03-04 15:00:00,SA1,221.11
2026-03-04 15:00:00,TAS1,-166.74
2026-03-04 15:00:00,VIC1,52.78
2026-03-04 16:00:00,NSW1,17.52
2026-03-04 16:00:00,QLD1,463.07
2026-03-04 16:00:00,SA1,56.25
2026-03-04 16:00:00,TAS1,-220.62
2026-03-04 16:00:00,VIC1,-254.27
2026-03-04 17:00:00,NSW1,-764.17
2026-03-04 17:00:00,QLD1,375.8
2026-03-04 17:00:00,SA1,-83.86
2026-03-04 17:00:00,TAS1,-48.36
2026-03-04 17:00:00,VIC1,596.59
2026-03-04 18:00:00,NSW1,-992.85
2026-03-04 18:00:00,QLD1,541.12
2026-03-04 18:00:00,SA1,-429.17
2026-03-04 18:00:00,TAS1,-3.06
2026-03-04 18:00:00,VIC1,941.78
2026-03-04 19:00:00,NSW1,-1313.56
2026-03-04 19:00:00,QLD1,598.34
2026-03-04 19:00:00,SA1,-449.01
2026-03-04 19:00:00,TAS1,0.0
2026-03-04 19:00:00,VIC1,1269.69
2026-03-04 20:00:00,NSW1,-1209.39
2026-03-04 20:00:00,QLD1,539.05
2026-03-04 20:00:00,SA1,-391.66
2026-03-04 20:00:00,TAS1,0.0
2026-03-04 20:00:00,VIC1,1153.14
2026-03-04 21:00:00,NSW1,-1299.32
2026-03-04 21:00:00,QLD1,527.66
2026-03-04 21:00:00,SA1,-294.98
2026-03-04 21:00:00,TAS1,0.0
2026-03-04 21:00:00,VIC1,1174.74
2026-03-04 22:00:00,NSW1,-1301.15
2026-03-04 22:00:00,QLD1,736.15
2026-03-04 22:00:00,SA1,-305.34
2026-03-04 22:00:00,TAS1,0.0
2026-03-04 22:00:00,VIC1,965.01
2026-03-04 23:00:00,NSW1,-1222.52
2026-03-04 23:00:00,QLD1,1030.89
2026-03-04 23:00:00,SA1,-314.85
2026-03-04 23:00:00,TAS1,0.0
2026-03-04 23:00:00,VIC1,595.37
2026-03-05 00:00:00,NSW1,-1219.16
2026-03-05 00:00:00,QLD1,1092.24
2026-03-05 00:00:00,SA1,-472.01
2026-03-05 00:00:00,TAS1,0.0
2026-03-05 00:00:00,VIC1,709.19
2026-03-05 01:00:00,NSW1,-1209.95
2026-03-05 01:00:00,QLD1,1109.08
2026-03-05 01:00:00,SA1,-506.98
2026-03-05 01:00:00,TAS1,0.0
2026-03-05 01:00:00,VIC1,727.27
2026-03-05 02:00:00,NSW1,-1266.75
2026-03-05 02:00:00,QLD1,1143.94
2026-03-05 02:00:00,SA1,-574.56
2026-03-05 02:00:00,TAS1,2.21
2026-03-05 02:00:00,VIC1,833.01
2026-03-05 03:00:00,NSW1,-1127.86
2026-03-05 03:00:00,QLD1,1122.3
2026-03-05 03:00:00,SA1,-628.02
2026-03-05 03:00:00,TAS1,0.0
2026-03-05 03:00:00,VIC1,764.46
2026-03-05 04:00:00,NSW1,-1107.82
2026-03-05 04:00:00,QLD1,1089.39
2026-03-05 04:00:00,SA1,-653.15
2026-03-05 04:00:00,TAS1,0.0
2026-03-05 04:00:00,VIC1,799.81
2026-03-05 05:00:00,NSW1,-1194.55
2026-03-05 05:00:00,QLD1,1093.54
2026-03-05 05:00:00,SA1,-567.2
