INTERVAL_DATETIME,REGIONID,forecast_rrp,actual_rrp,error_rrp
2026-03-12 17:05:00,VIC1,-4.0,,
2026-03-12 17:10:00,NSW1,28.91,,
2026-03-12 17:10:00,QLD1,54.71,,
2026-03-12 17:10:00,SA1,-2.48,,
2026-03-12 17:10:00,TAS1,88.04,,
2026-03-12 17:10:00,VIC1,-2.5,,
2026-03-12 17:15:00,NSW1,28.8,,
2026-03-12 17:15:00,QLD1,54.71,,
2026-03-12 17:15:00,SA1,-1.1,,
2026-03-12 17:15:00,TAS1,88.04,,
2026-03-12 17:15:00,VIC1,-1.12,,
2026-03-12 17:20:00,NSW1,28.8,,
2026-03-12 17:20:00,QLD1,54.71,,
2026-03-12 17:20:00,SA1,-0.1,,
2026-03-12 17:20:00,TAS1,88.04,,
2026-03-12 17:20:00,VIC1,-0.1,,
2026-03-12 17:25:00,NSW1,14.91,,
2026-03-12 17:25:00,QLD1,83.68,,
2026-03-12 17:25:00,SA1,-0.1,,
2026-03-12 17:25:00,TAS1,88.04,,
2026-03-12 17:25:00,VIC1,-0.1,,
2026-03-12 17:30:00,NSW1,19.55,,
2026-03-12 17:30:00,QLD1,73.7,,
2026-03-12 17:30:00,SA1,0.0,,
2026-03-12 17:30:00,TAS1,88.1,,
2026-03-12 17:30:00,VIC1,0.0,,
